	Approach	Dataset	Users	Items	Interactions	k	VarianceNDCG	MeanNDCG	VarianceExposure	VarianceExposureEqWeight	Entropy	Gini	MMS	IIF	GGF
1137	PCT	amazon	324	311	350	20	0.0001599648073964502	0.976598127485118	485.3890642779228	4883.358960308517	0.6348562363033874	0.7824271336133656	0.07395498392282958	0.0024503918448468775	1.7379467355259872e-07
1139	PCT	amazon	324	311	350	20	0.00012899361808088011	0.9768394617030537	436.2988068179131	4548.612979601121	0.6569010572198477	0.7620902218881154	0.07395498392282958	0.0024121831706851522	1.698601673306222e-07
1141	PCT	amazon	453	436	500	20	0.00014710080656089798	0.979171079893131	714.1078689638339	7131.905647672755	0.5984030862326615	0.8091618768425145	0.052752293577981654	0.0018380005354582977	2.915236318590969e-08
1143	PCT	amazon	453	436	500	20	0.0001458932231487178	0.9791083465835599	736.1141754482472	7338.864363269085	0.5899052908316633	0.811689451411823	0.05045871559633028	0.0018470819805060875	3.057194119331891e-08
1145	PCT	amazon	453	436	500	20	0.0001470227650789606	0.9792395756363171	625.9931832819453	6442.44234492046	0.6285221329256682	0.7895438212325379	0.06651376146788991	0.001821083844186245	2.9546597618273244e-08
1147	PCT	amazon	453	436	500	20	0.0001460396388923052	0.9790932831976246	699.0035111358054	7103.96986785624	0.6022904643994691	0.8024282576532556	0.05045871559633028	0.0018434718002230013	3.0183287163998504e-08
1149	PCT	amazon	453	436	500	20	0.00014638916402427498	0.9790677314776296	679.3387975355437	6837.75885868193	0.6115164051091924	0.8003819684557397	0.052752293577981654	0.0018253399185126857	3.608913548276548e-08
1151	PCT	amazon	607	585	700	20	0.00015263723218865194	0.9801464386995788	891.8399334391006	9144.504375776172	0.5973364812064176	0.8063006836745288	0.044444444444444446	0.001324439885133382	1.2480540281272224e-08
1153	PCT	amazon	607	585	700	20	0.00015295934704355257	0.9800792100866499	956.3743270758828	9680.84625611805	0.580462900227139	0.8127611378096632	0.046153846153846156	0.0013608747814946567	1.2287884421717432e-08
1155	PCT	amazon	607	585	700	20	0.00015328012602264091	0.9800841389441944	1002.7019010107487	9928.93514500694	0.569461456589648	0.8243997317268719	0.041025641025641026	0.0014102512797261931	1.2388637599111922e-08
1157	PCT	amazon	607	585	700	20	0.00015250762144185029	0.9801155489406661	881.4405108545561	8996.090700562494	0.6008139731697254	0.8062103235807959	0.05128205128205128	0.001327635997829747	1.3480164394247252e-08
1159	PCT	amazon	607	585	700	20	0.0001520452009577319	0.9801485461812603	955.5324474844363	9577.119760391553	0.5817905901342502	0.8170138710628303	0.044444444444444446	0.0013922078344184411	1.2060053115412837e-08
1161	PCT	amazon	825	769	1000	20	0.00020378599154302886	0.9805382490672213	1143.8045018974856	11676.76045596514	0.6023036518114959	0.8090735995703852	0.07672301690507152	0.0009287564173113789	2.084282936408171e-08
1163	PCT	amazon	825	769	1000	20	0.00016996756724623084	0.980780585059807	1131.3190470231275	11649.478271309741	0.6066725455259018	0.8002027592772969	0.06892067620286085	0.0007997178879164794	2.0754468020140553e-08
1165	PCT	amazon	825	769	1000	20	0.0001965004092489554	0.9805323878951306	1100.2634723739654	11401.683732948231	0.6125168610561507	0.79791417319471	0.06631989596879063	0.0008891347899975622	2.0300375267367015e-08
1167	PCT	amazon	825	769	1000	20	0.00021868415510539302	0.9800823062044468	993.753157469548	10454.167478071768	0.6348336783707765	0.7808789261115067	0.0741222366710013	0.000932279459731783	2.0664839321123182e-08
