	Approach	Dataset	Users	Items	Interactions	k	Variance-NDCG	Variance-Exposure	Variance-ExposureEqWeight	Entropy	Gini	MMS	IIF
758	PCT	yelp	618	619	700	40	6.527950505594137e-05	1153.6534995245322	17941.378699815483	0.6648317170116836	0.8248032374974043	0.07754442649434572	tensor(0.0012, dtype=torch.float64)
759	Baseline	yelp	846	859	1000	40		2102.6090450497177	29040.190006247623	0.5858571317979181	0.87672651107683	0.05355064027939464	
760	PCT	yelp	846	859	1000	40	8.210395741042413e-05	1596.006386967085	24568.909447458325	0.6422994058707836	0.8391471685103877	0.05820721769499418	tensor(0.0008, dtype=torch.float64)
761	Baseline	yelp	1187	1212	1500	40		3035.699293572158	41865.911648095505	0.5571558243990415	0.8906201771952833	0.03547854785478548	
762	PCT	yelp	1187	1212	1500	40	8.34866204701888e-05	1943.7869120555686	29500.480955026196	0.627790130076689	0.8640274643166213	0.06188118811881188	tensor(0.0006, dtype=torch.float64)
763	Baseline	amazon	279	269	300	40		682.3933185248932	9101.885518442255	0.692804783886581	0.7930359165291531	0.15613382899628253	
764	TFROM	amazon	279	269	300	40	4.7661415448718474e-05	729.6927057589953	9459.57325078426	0.6849049332594479	0.7969426337723089	0.14869888475836432	tensor(0.0028, dtype=torch.float64)
765	Baseline	amazon	324	311	350	40		819.6192038929505	11124.053204578116	0.6732030342845555	0.8100390673309089	0.13183279742765272	
766	TFROM	amazon	324	311	350	40	4.101749113781733e-05	866.979036678185	11304.297577568474	0.6690324157072008	0.8131663178752416	0.13183279742765272	tensor(0.0025, dtype=torch.float64)
767	Baseline	amazon	366	353	400	40		927.3890748358538	12599.892335224586	0.6614173423758422	0.8222590338263015	0.11898016997167139	
768	Baseline	amazon	453	436	500	40		1174.5114856706016	16093.865709957076	0.6389352548240984	0.8406054944809656	0.09403669724770643	
769	TFROM	amazon	453	436	500	40	5.166248928984418e-05	1258.7771353565802	16556.893232892864	0.6322223615677607	0.8440241454295766	0.09174311926605505	tensor(0.0019, dtype=torch.float64)
770	Baseline	amazon	607	585	700	40		1598.8438958126976	21792.08587917306	0.6147029008483291	0.8610980573152238	0.0735042735042735	
771	TFROM	amazon	607	585	700	40	5.793519603207244e-05	1688.1853742353037	22533.309810796996	0.6073971672025812	0.8631767235182225	0.06837606837606838	tensor(0.0014, dtype=torch.float64)
772	Baseline	amazon	825	769	1000	40		2266.2521452914225	31261.676414237656	0.5914149941055536	0.8765860924865464	0.055916775032509754	
773	TFROM	amazon	825	769	1000	40	7.908010600519716e-05	2363.0841960658995	31829.47615415964	0.5867388485733668	0.8788701962671626	0.053315994798439535	tensor(0.0011, dtype=torch.float64)
774	Baseline	amazon	1156	1040	1500	40		3238.4046100432724	43279.12544378695	0.5802546690357965	0.889142845321367	0.047115384615384615	
775	TFROM	amazon	1156	1040	1500	40	8.172894388930225e-05	3533.8943086157105	47488.875443786965	0.5612534086336116	0.8936237625426057	0.038461538461538464	tensor(0.0009, dtype=torch.float64)
776	Baseline	black_friday	282	261	300	40		691.6057285438807	8865.994451050337	0.7107847039903552	0.787760074618844	0.1839080459770115	
777	TFROM	black_friday	282	261	300	40	5.3238790587081946e-05	766.1408591949989	9977.68027480513	0.6870331521836681	0.7943993371291729	0.14942528735632185	tensor(0.0041, dtype=torch.float64)
778	Baseline	black_friday	328	305	350	40		854.0174140657238	11480.36366568127	0.675787444125129	0.8095006395096592	0.13442622950819672	
779	TFROM	black_friday	328	305	350	40	4.548996225860395e-05	905.112680139711	11804.153829615696	0.6702371473194584	0.812058366327934	0.13114754098360656	tensor(0.0035, dtype=torch.float64)
780	Baseline	black_friday	367	346	400	40		948.4280618573591	12800.111831334161	0.6643003828009219	0.8217605265803737	0.12427745664739884	
781	Baseline	black_friday	455	426	500	40		1198.6717856333987	16279.143930877908	0.6441155550210954	0.8400081036220692	0.10093896713615023	
782	TFROM	black_friday	455	426	500	40	4.332124747442261e-05	1288.3756403723507	16996.181489563358	0.6355185752275178	0.8430999322523673	0.09154929577464789	tensor(0.0026, dtype=torch.float64)
783	Baseline	black_friday	611	546	700	40		1727.983237350578	23361.71620443049	0.6216520211943609	0.8601100235056669	0.07875457875457875	
784	TFROM	black_friday	611	546	700	40	4.7181697982559934e-05	1840.1480276245634	24486.730856445138	0.6123123933210035	0.8620426242873153	0.07142857142857142	tensor(0.0021, dtype=torch.float64)
785	Baseline	black_friday	841	716	1000	40		2516.779058624293	34637.58351799258	0.5967436927853361	0.8771077049186948	0.05865921787709497	
786	TFROM	black_friday	841	716	1000	40	6.706637154146273e-05	2631.6750865885983	35485.41592022722	0.5916399376333018	0.8783643047001675	0.05726256983240224	tensor(0.0017, dtype=torch.float64)
787	Baseline	black_friday	1166	948	1500	40		3607.7704338965355	50266.82143175063	0.5786255215996084	0.8895141590557625	0.046413502109704644	
788	TFROM	black_friday	1166	948	1500	40	7.764666235347348e-05	3919.7190138970377	52821.39105200379	0.5681589403725218	0.8936127622876082	0.04219409282700422	tensor(0.0014, dtype=torch.float64)
789	Baseline	movielens	236	241	300	40		508.9082578968666	7039.294709113132	0.7100421811981833	0.7741389865355879	0.17427385892116182	
790	TFROM	movielens	236	241	300	40	9.801754621242843e-05	554.925797561062	7369.04574645753	0.7007748471732953	0.7797840494079238	0.16597510373443983	tensor(0.0029, dtype=torch.float64)
791	Baseline	movielens	266	277	350	40		584.7856280776457	7974.798133691302	0.6949678496356412	0.7936229092852188	0.1552346570397112	
792	TFROM	movielens	266	277	350	40	7.900940302421761e-05	622.5678175879913	8335.303548853759	0.6858000576184526	0.7974121931662606	0.1444043321299639	tensor(0.0026, dtype=torch.float64)
793	Baseline	movielens	291	305	400	40		647.8619528956033	8959.612469766193	0.6810558689147467	0.8058060570798532	0.13442622950819672	
794	TFROM	movielens	291	305	400	40	7.504216762167646e-05	675.0900781774499	9102.491158290783	0.6776189296164024	0.8074049171636994	0.13114754098360656	tensor(0.0024, dtype=torch.float64)
795	Baseline	movielens	335	359	500	40		722.2699859550318	10184.53166874869	0.6680375016936719	0.8190812616513894	0.116991643454039	
796	TFROM	movielens	335	359	500	40	5.961664905077451e-05	772.6729332051824	10515.935568470139	0.6610177281805969	0.8249014929513193	0.11142061281337047	tensor(0.0023, dtype=torch.float64)
797	Baseline	movielens	411	444	700	40		872.7043403686841	12589.990260530798	0.6516436897532879	0.83570566952033	0.0945945945945946	
798	TFROM	movielens	411	444	700	40	0.00010256033888702003	942.9790676858314	13091.228999269537	0.6417257124047947	0.8425301266226469	0.08783783783783784	tensor(0.0021, dtype=torch.float64)
799	Baseline	movielens	500	546	1000	40		1038.373540054701	15006.22942747119	0.6403224348588804	0.8470224133222143	0.07875457875457875	
800	TFROM	movielens	500	546	1000	40	0.0001354277645560682	1119.4491773860286	15851.192797434558	0.6279150047575249	0.8551271742240867	0.07142857142857142	tensor(0.0020, dtype=torch.float64)
801	Baseline	movielens	608	672	1500	40		1210.6180035338841	18289.26133786848	0.6268378089538397	0.8561525235378517	0.06398809523809523	
802	TFROM	movielens	608	672	1500	40	0.00022655317961502557	1305.3704244857136	18953.279195011342	0.618115358348178	0.8640415763833721	0.05803571428571429	tensor(0.0020, dtype=torch.float64)
803	Baseline	yelp	279	284	300	40		662.0108101659137	8911.553362428089	0.6821929870525338	0.7970725570581932	0.14084507042253522	
804	TFROM	yelp	279	284	300	40	4.4904441886188355e-05	687.27236150646	8968.982939892878	0.68056531288089	0.7980563940279158	0.14084507042253522	tensor(0.0024, dtype=torch.float64)
805	Baseline	yelp	322	323	350	40		776.6382596087544	10527.062063280582	0.6699048662292295	0.8117030926486006	0.13003095975232198	
806	TFROM	yelp	322	323	350	40	4.6198156012693365e-05	828.365077070226	10896.641010649	0.6631387424964311	0.8138829960639431	0.12074303405572756	tensor(0.0021, dtype=torch.float64)
807	Baseline	yelp	367	368	400	40		917.4936733857252	12381.74362003781	0.6545554599331551	0.8250306854098626	0.11413043478260869	
808	Baseline	yelp	452	456	500	40		1121.6243083402023	15345.894429055093	0.6348338458180633	0.8418530272853186	0.08991228070175439	
809	TFROM	yelp	452	456	500	40	4.142253738071601e-05	1195.618056995834	15826.96460449369	0.6283907749854454	0.8435928136056415	0.08552631578947369	tensor(0.0015, dtype=torch.float64)
